# Rime user dictionary
#@/db_name	xoox.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	52095
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=25 d=6.92897e-14 t=52095
qian 	簽	c=3 d=7.64508e-87 t=52095
qian 	茜	c=3 d=1.23974e-87 t=52095
qian ban ju 	前半句	c=1 d=4.62574e-78 t=52095
qian ben ying 	千本櫻	c=1 d=1.03229e-109 t=52095
qian bo 	淺薄	c=0 d=1.48555e-69 t=52095
qian ding 	簽訂	c=1 d=5.94241e-113 t=52095
qian duan shi jian 	前段時間	c=2 d=3.61555e-91 t=52095
qian fei 	欠費	c=1 d=1.77671e-56 t=52095
qian fo shan 	千佛山	c=1 d=3.49298e-97 t=52095
qian he tong 	簽合同	c=1 d=5.79884e-90 t=52095
qian hou 	前後	c=6 d=3.41345e-32 t=52095
qian hou tai 	前後臺	c=2 d=1.45397e-13 t=52095
qian ji 	前幾	c=0 d=5.05104e-55 t=52095
qian ji ci 	前幾次	c=1 d=5.07636e-54 t=52095
qian ji ge 	前幾個	c=1 d=8.89613e-66 t=52095
qian li 	千里	c=0 d=4.15123e-41 t=52095
qian li 	潛力	c=0 d=4.08942e-41 t=52095
qian liang tian 	前兩天	c=2 d=1.98176e-48 t=52095
qian mian 	前面	c=7 d=5.39823e-12 t=52095
qian qi 	前妻	c=2 d=9.55153e-20 t=52095
qian que 	欠缺	c=1 d=9.59941e-20 t=52095
qian ru 	嵌入	c=13 d=0.000137073 t=52095
qian ru shi 	嵌入式	c=22 d=0.000138027 t=52095
qian san 	前三	c=1 d=0.000120966 t=52095
qian tai 	前臺	c=1 d=2.39553e-13 t=52095
qian tao 	嵌套	c=1 d=1.3408e-09 t=52095
qian ti 	前提	c=6 d=1.37901e-05 t=52095
qian ti 	前體	c=3 d=3.36675e-17 t=52095
qian ti shi 	前提是	c=1 d=1.07408e-76 t=52095
qian wang 	前往	c=5 d=5.44276e-21 t=52095
qian ya 	欠壓	c=10 d=1.66066e-18 t=52095
qian yi 	遷移	c=1 d=2.05437e-29 t=52095
qian yue 	簽約	c=2 d=7.6972e-90 t=52095
qian zai 	潛在	c=1 d=1.00058e-95 t=52095
qian zhe 	前者	c=5 d=1.38276e-48 t=52095
qian zhi 	前置	c=8 d=3.60586e-63 t=52095
qian zhui 	前綴	c=3 d=8.39108e-16 t=52095
qian zi 	簽字	c=1 d=5.29686e-113 t=52095
qiang 	強	c=6 d=6.88629e-83 t=52095
qiang 	牆	c=1 d=3.57554e-19 t=52095
qiang du 	強度	c=3 d=3.01534e-73 t=52095
qiang lie 	強烈	c=2 d=4.25935e-19 t=52095
qiang po zheng 	強迫症	c=2 d=0.0277977 t=52095
qiang shen 	強身	c=3 d=2.81631e-57 t=52095
qiang ti 	牆體	c=1 d=2.86029e-99 t=52095
qiang zhi 	強制	c=6 d=8.90708e-39 t=52095
qiang zhuan 	強轉	c=2 d=2.14034e-97 t=52095
qiao 	巧	c=1 d=2.77027e-17 t=52095
qiao ding 	敲定	c=1 d=7.41954e-19 t=52095
qiao men 	敲門	c=1 d=8.67972e-41 t=52095
qiao qiao 	瞧瞧	c=1 d=2.42985e-92 t=52095
qie 	且	c=30 d=1.16814 t=52095
qie 	切	c=1 d=1.36186e-104 t=52095
qie dian 	竊電	c=3 d=0.00350262 t=52095
qie huan 	切換	c=45 d=7.26116e-24 t=52095
qie ji 	切記	c=0 d=1.77213e-56 t=52095
qie ji qie ji 	切記切記	c=1 d=1.78101e-55 t=52095
qie ru dian 	切入點	c=1 d=2.43803e-14 t=52095
qin 	勤	c=1 d=4.15109e-69 t=52095
qin 	琴	c=1 d=5.17258e-69 t=52095
qin 	秦	c=1 d=1.74782e-69 t=52095
qin ke qing 	秦可卿	c=1 d=2.30106e-69 t=52095
qin ren 	親人	c=1 d=3.11425e-42 t=52095
qin ren jie 	親人節	c=1 d=3.12986e-41 t=52095
qin shi huang 	秦始皇	c=1 d=3.06476e-29 t=52095
qin ye rong 	琴葉榕	c=1 d=3.30605e-97 t=52095
qin zi 	親自	c=2 d=8.52551e-36 t=52095
qing 	情	c=2 d=2.98218e-112 t=52095
qing 	晴	c=1 d=3.16132e-41 t=52095
qing 	清	c=2 d=3.14555e-41 t=52095
qing 	請	c=29 d=0.000251552 t=52095
qing 	青	c=4 d=0.000633025 t=52095
qing an 	請按	c=6 d=2.2239e-108 t=52095
qing chu 	清楚	c=5 d=2.97833e-16 t=52095
qing chu 	清除	c=31 d=2.96347e-16 t=52095
qing chun 	青春	c=1 d=1.65153e-20 t=52095
qing dan 	清單	c=2 d=2.39704e-44 t=52095
qing dao 	青島	c=16 d=4.05047e-11 t=52095
qing gu 	清穀	c=0 d=1.15204e-19 t=52095
qing gu tian 	清穀天	c=3 d=3.58111e-18 t=52095
qing hua 	清華	c=4 d=1.06286e-58 t=52095
qing jiao 	請教	c=1 d=1.69964e-93 t=52095
qing jie 	清潔	c=1 d=1.11712e-97 t=52095
qing kan 	請看	c=1 d=3.97342e-25 t=52095
qing kong 	清空	c=3 d=1.12826e-08 t=52095
qing kuang 	情況	c=26 d=1.13694e-16 t=52095
qing ling 	清零	c=10 d=2.07897e-09 t=52095
qing ming shi jie 	清明時節	c=1 d=3.29829e-40 t=52095
qing ping 	清屏	c=2 d=2.22147e-96 t=52095
qing qiu 	請求	c=104 d=6.12624e-10 t=52095
qing ren 	情人	c=3 d=3.37446e-40 t=52095
qing ren jie 	情人節	c=4 d=3.98162e-40 t=52095
qing se 	青色	c=1 d=0.000448321 t=52095
qing tong 	青銅	c=2 d=2.7772e-20 t=52095
qing tui 	清退	c=1 d=2.94389e-85 t=52095
qing wen 	請問	c=8 d=0.00260584 t=52095
qing xi 	清晰	c=1 d=1.29645e-25 t=52095
qing xi le 	清晰了	c=1 d=2.88315e-75 t=52095
qing xiang 	傾向	c=2 d=2.67964e-08 t=52095
qing yan 	青鹽	c=1 d=2.0998e-51 t=52095
qing zhou 	青州	c=1 d=2.15896e-25 t=52095
qiu 	丘	c=1 d=1.53288e-84 t=52095
qiu 	求	c=2 d=1.37498e-11 t=52095
qiu 	球	c=3 d=3.34968e-112 t=52095
qiu xian 	求仙	c=1 d=6.34277e-31 t=52095
qiu xian wen dao 	求仙問道	c=1 d=5.61329e-31 t=52095
qiu zhuang 	球狀	c=3 d=3.61692e-82 t=52095
qu 	區	c=17 d=0.00454217 t=52095
qu 	去	c=39 d=4.34602e-19 t=52095
qu 	取	c=8 d=7.36634e-10 t=52095
qu bie 	區別	c=17 d=0.0025681 t=52095
qu chu 	去除	c=4 d=4.56076e-88 t=52095
qu chu 	取出	c=2 d=8.11524e-44 t=52095
qu dai 	取代	c=6 d=1.37966e-51 t=52095
qu dian 	取電	c=1 d=2.43754e-41 t=52095
qu diao 	去掉	c=3 d=1.86564e-13 t=52095
qu dong 	驅動	c=142 d=0.514617 t=52095
qu dong ceng 	驅動層	c=1 d=1.18169e-111 t=52095
qu dong ku 	驅動庫	c=1 d=9.86454e-17 t=52095
qu dou 	去抖	c=2 d=8.11057e-86 t=52095
qu fan 	取反	c=3 d=8.22581e-105 t=52095
qu fen 	區分	c=1 d=8.27636e-41 t=52095
qu hao 	區號	c=1 d=1.81137e-48 t=52095
qu hua 	區劃	c=1 d=2.34755e-69 t=52095
qu jian 	取件	c=0 d=1.29821e-42 t=52095
qu jian ma 	取件碼	c=1 d=1.30472e-41 t=52095
qu jue 	取決	c=1 d=1.40247e-38 t=52095
qu kuai 	區塊	c=12 d=2.60831e-34 t=52095
qu kuan 	取款	c=1 d=4.13447e-110 t=52095
qu le 	去了	c=2 d=1.4797e-51 t=52095
qu li 	區裏	c=1 d=4.50799e-10 t=52095
qu lv 	曲率	c=1 d=1.12066e-46 t=52095
qu me 	去麼	c=1 d=3.14321e-91 t=52095
qu na 	去哪	c=1 d=2.12573e-19 t=52095
qu na 	去拿	c=1 d=0.00302755 t=52095
qu nian 	去年	c=1 d=1.83076e-85 t=52095
qu shu 	取數	c=1 d=5.12929e-29 t=52095
qu tang 	去趟	c=1 d=2.18349e-99 t=52095
qu wang 	去往	c=1 d=2.2431e-63 t=52095
qu wei 	區位	c=2 d=4.08202e-73 t=52095
qu xia 	取下	c=3 d=3.09766e-37 t=52095
qu xian 	曲線	c=9 d=1.6849e-08 t=52095
qu xiang 	去向	c=1 d=1.33194e-78 t=52095
qu xiao 	取消	c=5 d=2.40672e-09 t=52095
qu yu 	區域	c=8 d=6.69529e-28 t=52095
qu zheng 	取整	c=1 d=6.29358e-112 t=52095
qu zhi 	取值	c=2 d=5.13079e-111 t=52095
qu zi mo 	取字模	c=1 d=3.45399e-112 t=52095
quan 	全	c=4 d=7.75553e-10 t=52095
quan 	圈	c=1 d=1.49346e-101 t=52095
quan 	權	c=1 d=1.60453e-92 t=52095
quan bu 	全部	c=16 d=9.01701e-10 t=52095
quan chi cun 	全尺寸	c=1 d=2.19026e-106 t=52095
quan heng 	權衡	c=1 d=3.4541e-83 t=52095
quan ju 	全局	c=15 d=7.34196e-13 t=52095
quan li 	權利	c=1 d=1.70699e-85 t=52095
quan mian 	全面	c=1 d=7.9036e-86 t=52095
quan pin 	全拼	c=3 d=1.14114e-85 t=52095
quan ren 	勸人	c=1 d=3.77501e-40 t=52095
quan su 	全速	c=2 d=1.39999e-76 t=52095
quan wei 	權威	c=7 d=1.60143e-65 t=52095
quan xian 	權限	c=8 d=4.88428e-12 t=52095
quan xin 	全新	c=1 d=1.24401e-98 t=52095
quan xing neng 	全性能	c=1 d=7.79331e-09 t=52095
quan xue 	勸學	c=2 d=3.39874e-40 t=52095
que 	卻	c=5 d=0.553345 t=52095
que 	缺	c=8 d=8.9953e-20 t=52095
que bao 	確保	c=8 d=2.23974e-16 t=52095
que ding 	確定	c=14 d=1.07711e-08 t=52095
que ren 	確認	c=26 d=0.0553256 t=52095
que ren jian 	確認鍵	c=1 d=3.86428e-109 t=52095
que shao 	缺少	c=4 d=3.05033e-10 t=52095
que sheng 	缺省	c=2 d=1.57513e-93 t=52095
que shi 	確實	c=4 d=0.384812 t=52095
que shi 	缺失	c=3 d=3.79673e-32 t=52095
que xian 	缺陷	c=29 d=1.16996e-16 t=52095
que xiang 	缺相	c=10 d=2.5556e-76 t=52095
que you 	卻又	c=0 d=0.0718924 t=52095
que zi 	缺字	c=2 d=6.41697e-17 t=52095
qun 	羣	c=1 d=3.24455e-82 t=52095
qun ti 	羣體	c=1 d=2.79422e-30 t=52095
qun zhong 	羣衆	c=1 d=2.26866e-108 t=52095
ran 	然	c=4 d=2.05583e-08 t=52095
ran er 	然而	c=3 d=0.212745 t=52095
ran hou 	然後	c=36 d=0.283691 t=52095
ran qi 	燃氣	c=2 d=5.89913e-15 t=52095
ran qi lun ji 	燃氣輪機	c=1 d=9.9123e-15 t=52095
ran qing 	燃情	c=1 d=2.70124e-73 t=52095
rang 	讓	c=19 d=3.34486e-14 t=52095
rang ta 	讓他	c=3 d=5.5497e-44 t=52095
rang ta 	讓它	c=2 d=1.58497e-31 t=52095
rang wo 	讓我	c=1 d=4.50832e-99 t=52095
rao 	繞	c=1 d=9.55381e-50 t=52095
rao quan zi 	繞圈子	c=0 d=1.88439e-14 t=52095
re 	熱	c=4 d=7.111e-15 t=52095
re biao 	热表	c=10 d=2.33028e-41 t=52095
re dai 	熱帶	c=1 d=3.69939e-96 t=52095
re dong 	熱動	c=0 d=4.45388e-16 t=52095
re dong ji 	熱動機	c=1 d=4.47621e-15 t=52095
re ji 	熱機	c=5 d=2.24372e-14 t=52095
re li 	熱力	c=8 d=1.639e-14 t=52095
re lie 	熱烈	c=2 d=2.16764e-35 t=52095
re neng 	熱能	c=3 d=2.3299e-14 t=52095
ren 	人	c=25 d=8.96342e-16 t=52095
ren 	仁	c=1 d=5.07016e-69 t=52095
ren 	任	c=1 d=5.07912e-31 t=52095
ren 	忍	c=0 d=0.140954 t=52095
ren 	認	c=1 d=1.90282e-98 t=52095
ren bie li 	忍別離	c=3 d=2.43363 t=52095
ren cai 	人才	c=1 d=1.58289e-50 t=52095
ren chou 	認籌	c=1 d=1.46997e-91 t=52095
ren dao 	人到	c=1 d=3.3592e-20 t=52095
ren ding 	認定	c=1 d=1.89727e-93 t=52095
ren du 	認讀	c=1 d=1.51987e-77 t=52095
ren du yin jie 	認讀音節	c=1 d=1.23869e-77 t=52095
ren gong 	人工	c=2 d=2.5559e-40 t=52095
ren he 	任何	c=12 d=2.72365e-13 t=52095
ren jia 	人家	c=5 d=5.74836e-44 t=52095
ren jie 	人皆	c=1 d=5.10458e-31 t=52095
ren li 	人力	c=4 d=3.49738e-87 t=52095
ren min 	人民	c=3 d=1.77495e-07 t=52095
ren ping 	任憑	c=0 d=0.0729789 t=52095
ren ping dou zhuan xing yi 	任憑斗轉星移	c=3 d=2.41446 t=52095
ren shi 	人士	c=2 d=4.44464e-68 t=52095
ren shou 	人壽	c=1 d=3.07992e-87 t=52095
ren shou 	忍受	c=1 d=1.55885e-17 t=52095
ren shu 	人數	c=1 d=4.6689e-99 t=52095
ren ti 	人體	c=1 d=7.73261e-64 t=52095
ren wei 	認爲	c=8 d=5.82135e-18 t=52095
ren wen 	人文	c=1 d=2.97054e-44 t=52095
ren wu 	人物	c=4 d=6.86423e-69 t=52095
ren wu 	任務	c=68 d=1.29424e-05 t=52095
ren wu shu 	任務書	c=1 d=4.83059e-29 t=52095
ren xuan 	任選	c=1 d=1.0192e-106 t=52095
ren yi 	任意	c=4 d=5.77717e-46 t=52095
ren yi jian 	任意鍵	c=2 d=2.43192e-102 t=52095
ren yuan 	人員	c=13 d=1.38477e-05 t=52095
ren zhen 	認真	c=2 d=1.56563e-57 t=52095
ren zheng 	認證	c=1 d=1.16401e-22 t=52095
reng 	仍	c=5 d=1.97314e-25 t=52095
reng hui 	仍會	c=2 d=2.90618e-51 t=52095
reng jiu 	仍舊	c=1 d=1.34936e-25 t=52095
reng wei 	仍爲	c=2 d=2.22729e-68 t=52095
reng xu 	仍需	c=3 d=1.98303e-25 t=52095
ri 	日	c=31 d=0.00955902 t=52095
ri ben 	日本	c=12 d=1.90734e-26 t=52095
ri chang 	日常	c=2 d=3.6365e-12 t=52095
ri dong jie 	日凍結	c=6 d=0.00404611 t=52095
ri hou 	日後	c=1 d=3.00356e-27 t=52095
ri li 	日曆	c=0 d=6.3722e-112 t=52095
ri li shi zhong 	日曆始終	c=1 d=6.40414e-111 t=52095
ri qi 	日期	c=42 d=7.03598e-08 t=52095
ri ti 	日體	c=1 d=4.27956e-104 t=52095
ri wen 	日文	c=1 d=3.66855e-27 t=52095
ri yong 	日用	c=1 d=1.36962e-112 t=52095
ri yu 	日語	c=13 d=2.79728 t=52095
ri yuan 	日元	c=1 d=2.07926e-53 t=52095
ri yuan 	日圓	c=2 d=4.68877e-53 t=52095
ri zhao 	日照	c=5 d=1.97033e-67 t=52095
ri zhi 	日誌	c=30 d=7.28524e-10 t=52095
rong 	榮	c=2 d=6.41229e-69 t=52095
rong 	蓉	c=1 d=1.73911e-69 t=52095
rong 	融	c=2 d=1.3863e-78 t=52095
rong chuang 	融創	c=21 d=0.0285297 t=52095
rong guo 	榮國	c=1 d=1.66258e-69 t=52095
rong guo fu 	榮國府	c=1 d=2.44335e-69 t=52095
rong he 	融合	c=1 d=5.92544e-50 t=52095
rong he 	融和	c=1 d=5.89588e-50 t=52095
rong ji 	溶劑	c=1 d=1.3358e-112 t=52095
rong qi 	容器	c=1 d=4.41783e-37 t=52095
rong ren 	容忍	c=2 d=7.17259e-25 t=52095
rong sheng 	榮盛	c=1 d=5.20559e-85 t=52095
rong yi 	容易	c=3 d=4.97565e-14 t=52095
rong yi ta 	容易塌	c=1 d=1.40686e-16 t=52095
rong yu 	冗餘	c=2 d=2.15295e-51 t=52095
rou ma 	肉麻	c=1 d=4.91628e-30 t=52095
rou shen 	肉身	c=1 d=2.82846e-85 t=52095
rou yan 	肉眼	c=1 d=7.65982e-41 t=52095
ru 	儒	c=1 d=2.46791e-69 t=52095
ru 	入	c=8 d=0.000113353 t=52095
ru 	如	c=2 d=1.71863e-68 t=52095
ru ci 	如此	c=3 d=6.30169e-39 t=52095
ru guo 	如果	c=102 d=0.0176042 t=52095
ru he 	如何	c=33 d=0.00845099 t=52095
ru kou 	入口	c=6 d=3.93408e-46 t=52095
ru men 	入門	c=3 d=4.47773e-19 t=52095
ru tong 	如同	c=1 d=2.05857e-53 t=52095
ru wang 	入網	c=4 d=4.85197e-47 t=52095
ru xia 	如下	c=9 d=0.344014 t=52095
ru xu 	如需	c=2 d=4.16376e-22 t=52095
ru you 	如有	c=1 d=7.80791e-31 t=52095
ruan 	軟	c=1 d=7.70633e-24 t=52095
ruan jian 	軟件	c=136 d=0.579707 t=52095
ruan jian yuan 	軟件園	c=1 d=3.37948e-32 t=52095
ruan kao 	軟考	c=1 d=6.62549e-99 t=52095
ruan lian jie 	软链接	c=1 d=1.01508e-29 t=52095
ruan ti 	軟體	c=1 d=2.0889e-78 t=52095
ruan ying 	軟硬	c=1 d=8.71256e-56 t=52095
ruan ying jian 	軟硬件	c=2 d=2.68611e-07 t=52095
rui 	瑞	c=1 d=2.48028e-69 t=52095
ruo 	弱	c=3 d=2.79553e-83 t=52095
ruo 	若	c=16 d=2.95835e-16 t=52095
ruo dian 	弱電	c=7 d=0.459425 t=52095
ruo dian 	弱點	c=1 d=4.04886e-11 t=52095
ruo gan 	若干	c=16 d=0.0073765 t=52095
ruo shi 	若是	c=1 d=5.46353e-07 t=52095
sai 	賽	c=3 d=2.3155e-26 t=52095
sai bo 	賽博	c=2 d=1.56141e-83 t=52095
sai che 	賽車	c=2 d=9.48753e-83 t=52095
sai shi 	賽事	c=1 d=3.40927e-47 t=52095
sai wei si 	賽維斯	c=7 d=1.0924e-07 t=52095
san 	三	c=44 d=0.000587413 t=52095
san 	弎	c=1 d=2.49144e-63 t=52095
san ban 	三版	c=1 d=5.42282e-66 t=52095
san bu 	三步	c=3 d=3.57189e-07 t=52095
san bu fen 	三部份	c=1 d=7.76054e-77 t=52095
san ci 	三次	c=2 d=4.86207e-80 t=52095
san da 	三大	c=1 d=2.29715e-49 t=52095
san da kuai 	三大塊	c=1 d=3.79135e-32 t=52095
san ge 	三個	c=8 d=2.48255e-21 t=52095
san ge yue 	三個月	c=1 d=3.08441e-16 t=52095
san jiao 	三角	c=2 d=5.74078e-111 t=52095
san lei 	三類	c=1 d=3.18312e-63 t=52095
san lian 	三聯	c=1 d=1.03968e-46 t=52095
san luo zai 	散落在	c=1 d=4.76353e-41 t=52095
san miao 	三秒	c=3 d=6.43796e-26 t=52095
san pie 	三撇	c=1 d=2.46665e-63 t=52095
san qi 	三期	c=1 d=1.30988e-58 t=52095
san ren 	三人	c=1 d=3.81697e-23 t=52095
san shi 	三是	c=1 d=2.26642e-67 t=52095
san shi miao 	三十秒	c=1 d=3.15842e-89 t=52095
san shi tian 	三十天	c=1 d=1.03253e-53 t=52095
san si 	三四	c=0 d=1.19093e-86 t=52095
san si xian 	三四線	c=1 d=1.1969e-85 t=52095
san ti 	三體	c=5 d=3.84927e-82 t=52095
san tian 	三天	c=2 d=5.39742e-90 t=52095
san xia wu chu er 	三下五除二	c=1 d=9.59451e-14 t=52095
san xian 	三線	c=2 d=8.00992e-08 t=52095
san xiang 	三相	c=9 d=0.000876398 t=52095
san zhe 	三者	c=1 d=6.84538e-42 t=52095
san zhong 	三種	c=12 d=3.06059e-13 t=52095
san zhu xiang 	三炷香	c=1 d=1.61075e-20 t=52095
sang shi 	喪失	c=1 d=6.69614e-18 t=52095
sao mang 	掃盲	c=1 d=3.76514e-68 t=52095
sao miao 	掃描	c=14 d=0.000406687 t=52095
sao rao 	騷擾	c=1 d=1.30814e-13 t=52095
se 	色	c=9 d=0.00160727 t=52095
sen 	森	c=1 d=2.99928e-69 t=52095
sha 	啥	c=11 d=1.96385e-06 t=52095
sha 	沙	c=1 d=1.52523e-84 t=52095
sha de 	啥的	c=1 d=5.32343e-113 t=52095
sha qing kuang 	啥情況	c=1 d=2.58923e-16 t=52095
sha qiu 	沙丘	c=1 d=1.51006e-84 t=52095
sha shi hou 	啥時候	c=2 d=4.06738e-94 t=52095
sha yang 	啥樣	c=1 d=4.09695e-91 t=52095
sha zi 	傻子	c=1 d=1.86952e-08 t=52095
shai xuan 	篩選	c=1 d=2.75262e-30 t=52095
shan 	善	c=1 d=1.65429e-69 t=52095
shan 	山	c=2 d=1.19592e-47 t=52095
shan 	閃	c=1 d=9.19049e-96 t=52095
shan chu 	刪除	c=34 d=0.0480294 t=52095
shan cun 	閃存	c=46 d=0.00673795 t=52095
shan dian 	閃電	c=3 d=3.63505e-82 t=52095
shan dong 	山東	c=11 d=1.16263e-08 t=52095
shan dong sheng 	山東省	c=2 d=1.31851e-47 t=52095
shan gang 	山鋼	c=1 d=2.85145e-92 t=52095
shan heng 	山衡	c=1 d=1.87999e-103 t=52095
shan jian 	刪減	c=2 d=3.69053e-84 t=52095
shan ping 	閃屏	c=1 d=4.31067e-101 t=52095
shan qu 	扇區	c=7 d=2.13269e-28 t=52095
shan shuo 	閃爍	c=10 d=1.74917e-13 t=52095
shan xian 	單縣	c=3 d=9.63873e-89 t=52095
shang 	上	c=116 d=0.0153996 t=52095
shang 	商	c=6 d=2.03784e-77 t=52095
shang 	尚	c=2 d=9.51978e-69 t=52095
shang bai 	上百	c=1 d=1.69714e-17 t=52095
shang ban 	上班	c=4 d=6.72857e-91 t=52095
shang ban nian 	上半年	c=1 d=7.76343e-52 t=52095
shang bao 	上報	c=161 d=1.35014e-07 t=52095
shang bi 	上臂	c=1 d=5.10181e-54 t=52095
shang biao 	上表	c=1 d=2.36582e-72 t=52095
shang bu 	尚不	c=5 d=1.48332e-08 t=52095
shang ceng 	上層	c=9 d=6.5213e-10 t=52095
shang che 	上車	c=2 d=4.20537e-16 t=52095
shang chuan 	上傳	c=5 d=1.24333e-57 t=52095
shang ci 	上次	c=7 d=9.60074e-51 t=52095
shang dai 	商貸	c=6 d=3.63526e-58 t=52095
shang dian 	上電	c=39 d=0.106373 t=52095
shang dian 	商店	c=0 d=2.14799e-113 t=52095
shang dian fu wei 	商店復位	c=1 d=2.15875e-112 t=52095
shang hai 	上海	c=3 d=1.72714e-76 t=52095
shang mian 	上面	c=14 d=0.0227134 t=52095
shang pin 	商品	c=1 d=1.47709e-89 t=52095
shang pin fang 	商品房	c=2 d=5.47763e-87 t=52095
shang qu 	上去	c=1 d=3.6867e-85 t=52095
shang ri 	上日	c=1 d=2.24616e-79 t=52095
shang shang 	上上	c=1 d=7.21375e-41 t=52095
shang sheng yan 	上升沿	c=2 d=1.46428e-73 t=52095
shang shi 	上市	c=1 d=1.13207e-77 t=52095
shang shu 	上述	c=39 d=0.0234473 t=52095
shang song 	上送	c=5 d=2.23739e-33 t=52095
shang tou 	上頭	c=1 d=1.23335e-85 t=52095
shang tu 	上圖	c=1 d=1.45415e-52 t=52095
shang wan 	上萬	c=1 d=1.20195e-17 t=52095
shang wang 	上網	c=7 d=5.37378e-18 t=52095
shang wei 	上位	c=2 d=1.29017e-106 t=52095
shang wei 	尚未	c=10 d=1.34729e-07 t=52095
shang wei ji 	上位機	c=14 d=1.53678e-41 t=52095
shang wu 	上午	c=2 d=9.35861e-74 t=52095
shang wu 	商務	c=2 d=3.521e-44 t=52095
shang wu bu 	商務部	c=1 d=1.89565e-83 t=52095
shang xia 	上下	c=6 d=6.49195e-102 t=52095
shang xian 	上線	c=73 d=1.91913e-22 t=52095
shang xian 	上限	c=6 d=4.89107e-54 t=52095
shang xin 	傷心	c=1 d=3.29033e-41 t=52095
shang xing 	上行	c=49 d=0.0713613 t=52095
shang xing tong xin 	上行通信	c=1 d=4.2008e-62 t=52095
shang xiong 	上凶	c=1 d=3.21128e-49 t=52095
shang ye 	商業	c=3 d=5.34499e-43 t=52095
shang yi 	上一	c=1 d=1.10755e-84 t=52095
shang yong 	商用	c=6 d=2.4146e-18 t=52095
shang zheng 	上證	c=1 d=2.06376e-112 t=52095
shang zhou 	上週	c=2 d=4.51966e-11 t=52095
shao 	少	c=8 d=1.03453e-17 t=52095
shao 	紹	c=6 d=2.14165e-68 t=52095
shao dao 	捎到	c=1 d=2.66511e-91 t=52095
shao deng 	稍等	c=12 d=1.05014e-21 t=52095
shao kai shui 	燒開水	c=2 d=3.68585e-15 t=52095
shao le 	少了	c=1 d=5.08155e-66 t=52095
shao lu 	燒錄	c=20 d=7.15315e-30 t=52095
shao nv 	少女	c=2 d=2.48889e-106 t=52095
shao wei 	稍微	c=5 d=0.000126534 t=52095
shao xiang 	燒香	c=2 d=3.17358e-20 t=52095
shao xie 	燒寫	c=7 d=3.1288e-37 t=52095
shao yu 	少於	c=1 d=1.15518e-50 t=52095
she 	設	c=11 d=5.62495e-26 t=52095
she 	赦	c=1 d=1.81915e-69 t=52095
she bao 	社保	c=1 d=1.67781e-88 t=52095
she bei 	設備	c=122 d=2.81297e-07 t=52095
she bei ce 	設備側	c=1 d=2.25051e-43 t=52095
she fa 	設法	c=1 d=2.6884e-17 t=52095
she hui 	社會	c=4 d=1.33525e-19 t=52095
she ji 	涉及	c=1 d=6.55685e-06 t=52095
she ji 	設計	c=86 d=0.00612895 t=52095
she ji dao 	涉及到	c=1 d=5.19215e-84 t=52095
she jiao 	社交	c=3 d=3.94122e-112 t=52095
she ke 	社科	c=1 d=2.98543e-44 t=52095
she pin 	射頻	c=2 d=6.50939e-59 t=52095
she qi 	捨棄	c=1 d=3.23639e-23 t=52095
she qu 	社區	c=1 d=2.97114e-17 t=52095
she shi du 	攝氏度	c=1 d=1.73443e-08 t=52095
she wei 	設爲	c=7 d=8.81325e-25 t=52095
she xiang 	設想	c=1 d=1.31394e-65 t=52095
she zhao 	社招	c=1 d=1.74266e-93 t=52095
she zhi 	設置	c=191 d=2.63017e-09 t=52095
she zhi jian 	設置鍵	c=2 d=2.69418e-101 t=52095
she zhi nao zhong 	設置鬧鐘	c=1 d=1.55234e-56 t=52095
she zhi wei 	設置爲	c=1 d=4.92649e-25 t=52095
she zhi xiang 	設置項	c=1 d=1.69554e-94 t=52095
she zhi zhi 	設置值	c=1 d=3.80222e-95 t=52095
shen 	沈	c=1 d=2.25773e-110 t=52095
shen 	深	c=1 d=9.05145e-05 t=52095
shen 	滲	c=1 d=8.96139e-05 t=52095
shen 	申	c=1 d=9.09683e-05 t=52095
shen 	身	c=2 d=9.00631e-05 t=52095
shen bao 	申報	c=1 d=1.98459e-93 t=52095
shen bian 	身邊	c=2 d=3.25916e-98 t=52095
shen cha 	審查	c=7 d=1.85918e-31 t=52095
shen che 	審車	c=1 d=2.26828e-106 t=52095
shen du 	深度	c=2 d=4.20895e-26 t=52095
shen fen 	身份	c=1 d=1.09017e-45 t=52095
shen fen zheng 	身份證	c=4 d=1.49406e-47 t=52095
shen jing 	神經	c=7 d=2.14719e-77 t=52095
shen jiu 	深究	c=1 d=3.29896e-13 t=52095
shen me 	什麼	c=59 d=0.184641 t=52095
shen pi 	審批	c=0 d=1.10668e-17 t=52095
shen pi ren 	審批人	c=1 d=1.11222e-16 t=52095
shen qing 	申請	c=14 d=5.62425e-16 t=52095
shen ru 	深入	c=10 d=3.2175e-13 t=52095
shen sheng 	神聖	c=2 d=8.36497e-77 t=52095
shen shi 	甚是	c=2 d=0.0155297 t=52095
shen su 	申訴	c=3 d=4.57774e-95 t=52095
shen xue 	神學	c=1 d=1.00392e-46 t=52095
shen zhen 	深圳	c=1 d=8.72443e-72 t=52095
shen zhi 	甚至	c=0 d=1.40567e-07 t=52095
shen zhi shi 	甚至是	c=1 d=1.41271e-06 t=52095
sheng 	勝	c=1 d=4.99467e-69 t=52095
sheng 	昇	c=4 d=2.73682e-20 t=52095
