# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	21961
#@/user_id	2be3b896-1e2b-4276-bba3-679b8b3580b5
a 	啊	c=7 d=0.08291 t=21961
gai zi duan 	該字段	c=1 d=0.000765486 t=21961
gan 	幹	c=1 d=0.179964 t=21961
gan 	感	c=1 d=2.1837e-12 t=21961
gan de 	乾的	c=1 d=2.96811e-05 t=21961
gan huang guan 	幹簧管	c=1 d=1.83406e-18 t=21961
gan jing 	乾淨	c=2 d=0.970446 t=21961
gan jue 	感覺	c=2 d=3.79776e-05 t=21961
gan rao 	干擾	c=1 d=0.000713734 t=21961
gan shi 	乾式	c=1 d=3.18701e-48 t=21961
gan xie 	感謝	c=1 d=2.09808e-12 t=21961
gan xing qu 	感興趣	c=1 d=0.00869506 t=21961
gang 	剛	c=5 d=0.000452672 t=21961
gang cai 	剛纔	c=5 d=0.000462266 t=21961
gang gang 	剛剛	c=1 d=2.98299e-05 t=21961
gao 	搞	c=1 d=2.26071e-08 t=21961
gao 	高	c=3 d=0.0029528 t=21961
gao bu ding 	搞不定	c=1 d=9.61771e-13 t=21961
gao di 	高低	c=0 d=0.0527292 t=21961
gao di wen 	高低溫	c=1 d=0.529935 t=21961
gao ji 	高級	c=2 d=0.00195963 t=21961
gao neng 	高能	c=4 d=6.03636e-22 t=21961
gao qiang 	高牆	c=1 d=2.20565e-12 t=21961
gao qing chu 	搞清楚	c=1 d=3.90761e-05 t=21961
gao su 	告訴	c=2 d=0.218351 t=21961
gao xiao 	高效	c=1 d=0.0230521 t=21961
gao xiao 	高校	c=1 d=1.34729e-07 t=21961
gao yu 	高於	c=1 d=0.000153778 t=21961
gao zi jie 	高字節	c=1 d=6.30297e-12 t=21961
gao zu 	高阻	c=1 d=0.187308 t=21961
ge 	個	c=39 d=1.76848 t=21961
ge 	各	c=2 d=3.18441e-09 t=21961
ge 	哥	c=2 d=0.0773063 t=21961
ge 	隔	c=6 d=1.37564 t=21961
ge ge 	各個	c=6 d=0.273898 t=21961
ge gong ju 	個工具	c=1 d=0.00752142 t=21961
ge guo 	各國	c=0 d=9.45971e-25 t=21961
ge lei 	各類	c=1 d=1.12573e-11 t=21961
ge lu 	各路	c=3 d=2.78367e-07 t=21961
ge ren 	個人	c=4 d=0.00341356 t=21961
ge shi 	格式	c=37 d=2.83559 t=21961
ge shi hua 	格式化	c=1 d=9.10612e-17 t=21961
ge shu 	個數	c=8 d=0.00600458 t=21961
ge tiao 	各條	c=1 d=1.82237e-31 t=21961
ge wei 	各位	c=2 d=0.605597 t=21961
ge zhong 	各種	c=6 d=0.694197 t=21961
gei 	給	c=17 d=0.563625 t=21961
gei chu 	給出	c=3 d=4.59137e-12 t=21961
gei li 	給力	c=1 d=4.60861e-05 t=21961
gei ni 	給你	c=3 d=0.6378 t=21961
gei nin 	給您	c=1 d=0.000804733 t=21961
gei ta 	給他	c=1 d=5.27472e-05 t=21961
gei wo 	給我	c=2 d=9.23431e-05 t=21961
gen 	跟	c=8 d=0.172907 t=21961
gen jin 	跟進	c=1 d=6.55797e-08 t=21961
gen ju 	根據	c=30 d=1.19631 t=21961
gen wo 	跟我	c=1 d=1.97247e-21 t=21961
gen zheng miao hong 	根正苗紅	c=1 d=0.00708341 t=21961
gen zong 	跟蹤	c=2 d=7.52556e-09 t=21961
geng 	更	c=7 d=0.927743 t=21961
geng duo 	更多	c=2 d=0.0107807 t=21961
geng gai 	更改	c=17 d=0.268474 t=21961
geng gai wei 	更改爲	c=1 d=0.00139481 t=21961
geng hao 	更好	c=2 d=0.0293049 t=21961
geng hao yong 	更好用	c=1 d=7.54474e-10 t=21961
geng huan 	更換	c=7 d=0.218712 t=21961
geng ming 	更名	c=1 d=1.91157e-05 t=21961
geng sha 	更紗	c=1 d=1.35262e-24 t=21961
geng sha hei ti 	更紗黑體	c=2 d=2.44169e-24 t=21961
geng xin 	更新	c=65 d=1.64796 t=21961
geng xin ni 	更新你	c=2 d=1.10894e-05 t=21961
geng yi 	更易	c=1 d=6.0715e-13 t=21961
geng you 	更優	c=1 d=3.78491e-12 t=21961
geng zheng 	更正	c=7 d=0.000694043 t=21961
gong 	供	c=3 d=0.66365 t=21961
gong 	工	c=5 d=0.0299751 t=21961
gong cheng 	工程	c=10 d=0.204948 t=21961
gong cheng ming 	工程名	c=1 d=3.25992e-20 t=21961
gong cun 	共存	c=1 d=2.84533e-08 t=21961
gong di 	功底	c=1 d=0.0031042 t=21961
gong dian 	供電	c=2 d=6.26342e-19 t=21961
gong geng 	躬耕	c=2 d=0.000359786 t=21961
gong gong 	公共	c=1 d=1.6998e-06 t=21961
gong hao 	功耗	c=4 d=0.271409 t=21961
gong ji 	共計	c=3 d=4.26529e-06 t=21961
gong ju 	工具	c=12 d=0.990377 t=21961
gong lv 	功率	c=1 d=8.99071e-14 t=21961
gong neng 	功能	c=105 d=2.07234 t=21961
gong neng jian 	功能鍵	c=3 d=0.0387416 t=21961
gong ren 	供人	c=1 d=4.48231e-31 t=21961
gong ren 	工人	c=1 d=4.45995e-31 t=21961
gong shi 	公式	c=1 d=1.13353e-05 t=21961
gong shui 	供水	c=1 d=2.89828e-19 t=21961
gong si 	公司	c=8 d=2.02312 t=21961
gong xiang 	共享	c=2 d=0.000274654 t=21961
gong yi 	工藝	c=1 d=3.56134e-31 t=21961
gong yong 	共用	c=2 d=0.000504132 t=21961
gong yong ti 	共用體	c=1 d=1.17695e-05 t=21961
gong zhuang 	工裝	c=1 d=2.08868e-18 t=21961
gong zuo 	工作	c=32 d=0.960029 t=21961
gong zuo ri 	工作日	c=2 d=0.00158844 t=21961
gou 	夠	c=3 d=0.155106 t=21961
gou 	構	c=1 d=8.35697e-07 t=21961
gou jian 	構建	c=2 d=2.86484e-20 t=21961
gou jiao 	狗叫	c=1 d=9.51553e-05 t=21961
gou mai 	購買	c=1 d=5.70219e-10 t=21961
gou si 	構思	c=3 d=9.72853e-09 t=21961
gou tong 	溝通	c=1 d=0.000614317 t=21961
gou tou 	狗頭	c=1 d=0.017249 t=21961
gou tu 	狗兔	c=4 d=1.57115e-05 t=21961
gu 	故	c=1 d=9.78167e-06 t=21961
gu 	股	c=0 d=4.90542e-05 t=21961
gu ai ji 	古埃及	c=4 d=6.9258e-31 t=21961
gu ding 	固定	c=3 d=2.60409 t=21961
gu fen 	股份	c=2 d=0.172161 t=21961
gu ji 	估計	c=1 d=1.22265e-12 t=21961
gu lao 	古老	c=1 d=2.65153e-31 t=21961
gu lao lao 	姑姥姥	c=1 d=2.63831e-31 t=21961
gu niang 	姑娘	c=0 d=9.52201e-14 t=21961
gu yuan 	僱員	c=1 d=7.17167e-31 t=21961
gua ceng 	刮蹭	c=1 d=1.51303e-19 t=21961
gua qi 	掛起	c=1 d=0.00377257 t=21961
guai ni 	怪你	c=1 d=2.09622e-31 t=21961
guan 	關	c=1 d=0.000578542 t=21961
guan 	館	c=1 d=5.21585e-20 t=21961
guan bi 	關閉	c=10 d=0.0136366 t=21961
guan cha 	觀察	c=1 d=5.5042e-06 t=21961
guan dian 	觀點	c=1 d=3.43125e-05 t=21961
guan duan 	關斷	c=1 d=0.186374 t=21961
guan fa 	關閥	c=3 d=0.0145524 t=21961
guan fang 	官方	c=3 d=0.00852289 t=21961
guan jian zi 	關鍵字	c=13 d=0.00546251 t=21961
guan jun 	關君	c=1 d=2.53055e-11 t=21961
guan li 	管理	c=14 d=1.02025 t=21961
guan nian 	觀念	c=1 d=1.95451e-31 t=21961
guan shang 	觀賞	c=1 d=4.50477e-31 t=21961
guan xi 	關係	c=3 d=2.51752e-09 t=21961
guan xin 	關心	c=1 d=0.000370744 t=21961
guan yu 	關於	c=4 d=3.45738e-06 t=21961
guang 	廣	c=1 d=0.778801 t=21961
guang bo 	廣播	c=3 d=0.156935 t=21961
guang chang 	廣場	c=1 d=6.55441e-31 t=21961
gui bi 	規避	c=2 d=0.0010701 t=21961
gui dian 	貴點	c=1 d=1.43924e-19 t=21961
gui ding 	規定	c=2 d=0.00625109 t=21961
gui fan 	規範	c=1 d=1.20404e-08 t=21961
gui hua 	規劃	c=1 d=2.9497e-20 t=21961
gui lei 	歸類	c=1 d=1.29623e-23 t=21961
gui yu 	歸於	c=0 d=0.000150344 t=21961
gui yu o 	歸於哦	c=1 d=0.00151098 t=21961
gui yue 	規約	c=136 d=3.71654 t=21961
gui yue zhong 	規約中	c=3 d=0.00535363 t=21961
gui ze 	規則	c=1 d=0.191092 t=21961
guo 	國	c=1 d=1.9043e-19 t=21961
guo 	果	c=1 d=2.15676e-13 t=21961
guo 	過	c=13 d=1.90803 t=21961
guo cheng 	過程	c=4 d=2.00958e-05 t=21961
guo cheng zhong 	過程中	c=1 d=4.7653e-16 t=21961
guo di 	過低	c=2 d=0.222017 t=21961
guo du 	過度	c=1 d=6.13044e-09 t=21961
guo duan 	過短	c=1 d=6.36415e-08 t=21961
guo duo 	過多	c=2 d=0.965605 t=21961
guo er 	國二	c=1 d=1.92344e-19 t=21961
guo hou 	過後	c=1 d=1.02689e-18 t=21961
guo hui 	過會	c=1 d=3.46633e-07 t=21961
guo jia 	國家	c=1 d=5.3952e-06 t=21961
guo lai 	過來	c=1 d=2.1232e-06 t=21961
guo lv 	過濾	c=1 d=7.96564e-31 t=21961
guo nei 	國內	c=2 d=0.19593 t=21961
guo qing 	國慶	c=1 d=8.55485e-11 t=21961
guo qing qi jian 	國慶期間	c=1 d=7.64029e-11 t=21961
guo re 	過熱	c=1 d=1.05762e-12 t=21961
guo wai 	國外	c=1 d=0.197899 t=21961
guo xiao 	過小	c=1 d=5.51844e-07 t=21961
guo yu 	過於	c=1 d=0.00260584 t=21961
guo zai 	過載	c=11 d=1.99812 t=21961
ha shu 	哈數	c=1 d=0.0374406 t=21961
hai 	害	c=1 d=0.0561348 t=21961
hai 	還	c=16 d=0.176956 t=21961
hai bu ru 	還不如	c=1 d=3.4153e-09 t=21961
hai bu xing 	還不行	c=2 d=0.00882647 t=21961
hai chu 	害處	c=1 d=1.52642e-05 t=21961
hai hen 	還很	c=1 d=1.64217e-12 t=21961
hai ke yi 	還可以	c=1 d=0.00937227 t=21961
hai mei 	還沒	c=2 d=1.10022e-06 t=21961
hai mei you 	還沒有	c=1 d=0.00224287 t=21961
hai neng 	還能	c=4 d=0.0347405 t=21961
hai shi 	還是	c=20 d=0.182194 t=21961
hai xu 	還需	c=2 d=0.309808 t=21961
hai yao 	還要	c=1 d=0.000119762 t=21961
hai you 	還有	c=9 d=0.154989 t=21961
hai zai 	還在	c=1 d=1.74218e-31 t=21961
han dian 	漢典	c=1 d=3.03694e-10 t=21961
han dong 	撼動	c=1 d=3.70996e-12 t=21961
han feng 	寒風	c=1 d=3.91626e-31 t=21961
han jie 	焊接	c=1 d=2.76077e-06 t=21961
han shu 	函數	c=92 d=2.08225 t=21961
han yi 	含義	c=1 d=3.96734e-07 t=21961
han zi 	漢字	c=3 d=0.0526021 t=21961
hang 	行	c=1 d=1.9549e-05 t=21961
hang kong 	航空	c=1 d=1.76274e-22 t=21961
hang lie 	行列	c=1 d=1.15043e-31 t=21961
hang shou 	行首	c=1 d=0.00212284 t=21961
hang wei 	行尾	c=1 d=0.00213348 t=21961
hang zhou 	杭州	c=1 d=2.7985e-48 t=21961
hao 	好	c=21 d=0.000708392 t=21961
hao 	號	c=30 d=0.990535 t=21961
hao ba 	好吧	c=2 d=0.177284 t=21961
hao de 	好的	c=19 d=0.154222 t=21961
hao di 	好滴	c=1 d=5.23575e-06 t=21961
hao dian liang 	耗電量	c=1 d=2.9502e-22 t=21961
hao le 	好了	c=4 d=4.67905e-07 t=21961
hao le ba 	好了吧	c=1 d=6.60565e-05 t=21961
hao miao 	毫秒	c=7 d=0.36991 t=21961
hao xiang 	好像	c=9 d=0.00229965 t=21961
hao xie 	好鞋	c=1 d=2.05723e-16 t=21961
hao yong 	好用	c=1 d=2.09498e-10 t=21961
hao zai 	好在	c=1 d=2.41336e-12 t=21961
he 	何	c=2 d=0.00026151 t=21961
he 	合	c=1 d=0.0395575 t=21961
he 	和	c=41 d=2.01227 t=21961
he 	鶴	c=0 d=0.0955997 t=21961
he bing 	合併	c=18 d=0.402524 t=21961
he dui 	覈對	c=2 d=1.82283e-08 t=21961
he fang 	何方	c=0 d=1.31403e-08 t=21961
he fang shen sheng 	何方神聖	c=1 d=1.32061e-07 t=21961
he kuang 	何況	c=1 d=7.72209e-48 t=21961
he lan 	荷蘭	c=1 d=1.54975e-07 t=21961
he shi 	何時	c=2 d=4.41511e-22 t=21961
he shi 	合適	c=1 d=3.48786e-21 t=21961
he wo 	和我	c=0 d=9.44684e-09 t=21961
hei long jiang 	黑龍江	c=2 d=7.425e-31 t=21961
hei ti 	黑體	c=5 d=6.63611e-24 t=21961
hei ye li 	黑夜裏	c=1 d=3.93589e-31 t=21961
hen 	很	c=1 d=0.000755912 t=21961
hen da 	很大	c=1 d=1.17128e-07 t=21961
hen duo 	很多	c=2 d=3.8408e-08 t=21961
hen jian dan 	很簡單	c=0 d=3.56134e-32 t=21961
hen jiu 	很久	c=2 d=2.54288e-31 t=21961
hen qiang da 	很強大	c=1 d=0.00759701 t=21961
hen zao 	很早	c=1 d=2.88677e-31 t=21961
heng xian 	橫線	c=1 d=0.00108086 t=21961
hong 	宏	c=9 d=0.00151067 t=21961
hong 	紅	c=2 d=0.162838 t=21961
hong bai 	紅白	c=1 d=0.000296949 t=21961
hong bai ji 	紅白機	c=1 d=0.00104891 t=21961
hong ding yi 	宏定義	c=2 d=9.70776e-05 t=21961
hong wai 	紅外	c=3 d=4.49927e-09 t=21961
hong zhi 	宏值	c=1 d=2.01547e-10 t=21961
hou 	候	c=1 d=1.72103e-05 t=21961
hou 	后	c=2 d=5.26061e-05 t=21961
hou 	後	c=98 d=3.27623 t=21961
hou lai 	後來	c=3 d=0.421052 t=21961
hou mian 	後面	c=6 d=0.0871748 t=21961
hou qi 	後期	c=4 d=0.0948935 t=21961
hou ren 	後人	c=1 d=2.23206e-05 t=21961
hou xu 	後續	c=9 d=0.385357 t=21961
hou xuan 	候選	c=2 d=2.66965e-08 t=21961
hou zhui 	後綴	c=3 d=0.0195457 t=21961
hu 	戶	c=1 d=5.7505e-21 t=21961
hu huan 	互換	c=1 d=4.00653e-05 t=21961
hu lve 	忽略	c=1 d=1.73414e-06 t=21961
hu xiang 	互相	c=1 d=0.010358 t=21961
hua 	化	c=8 d=0.535829 t=21961
hua 	華	c=1 d=0.000735471 t=21961
hua 	話	c=12 d=0.152028 t=21961
hua dong 	滑動	c=1 d=1.07954e-18 t=21961
hua fen 	劃分	c=2 d=0.0098528 t=21961
hua hui 	花卉	c=1 d=6.03917e-09 t=21961
hua quan 	畫圈	c=1 d=0.13332 t=21961
hua sheng ke 	花生殼	c=7 d=0.958837 t=21961
hua shuo 	話說	c=1 d=1.51149e-07 t=21961
hua yang 	花樣	c=2 d=2.53077e-47 t=21961
huan 	換	c=5 d=0.793024 t=21961
huan bao 	環保	c=1 d=5.93067e-31 t=21961
huan cheng 	換成	c=2 d=0.090718 t=21961
huan chong 	緩衝	c=24 d=2.33202 t=21961
huan chong qu 	緩衝區	c=20 d=1.22387 t=21961
huan chong zhong 	緩衝中	c=1 d=1.23217e-15 t=21961
huan cun 	緩存	c=17 d=0.546074 t=21961
huan gui yue 	換規約	c=1 d=5.83623e-48 t=21961
huan hang 	換行	c=5 d=0.00851307 t=21961
huan jie 	環節	c=1 d=1.0083e-09 t=21961
huan jing 	環境	c=7 d=1.79157 t=21961
huan shang 	換上	c=1 d=3.19156e-06 t=21961
huan xing 	喚醒	c=47 d=1.39372 t=21961
huan xing hou 	喚醒後	c=2 d=0.196912 t=21961
huan xing yuan 	喚醒源	c=5 d=1.07593e-07 t=21961
huang 	黃	c=1 d=2.13632e-48 t=21961
huang guan 	簧管	c=0 d=1.82491e-19 t=21961
huang jing 	黃精	c=1 d=2.15779e-48 t=21961
hui 	回	c=2 d=0.12493 t=21961
hui 	會	c=46 d=2.5874 t=21961
hui bao 	彙報	c=1 d=0.00162053 t=21961
hui bu hui 	會不會	c=1 d=2.82086e-24 t=21961
hui chu xian 	會出現	c=2 d=0.755784 t=21961
hui diao 	回調	c=1 d=0.323033 t=21961
hui fu 	恢復	c=4 d=0.687699 t=21961
hui gun 	回滾	c=1 d=0.860708 t=21961
hui lai 	回來	c=4 d=0.000118571 t=21961
hui qu 	回去	c=1 d=0.00600598 t=21961
hui se 	灰色	c=1 d=1.38497e-08 t=21961
hui shui 	回水	c=1 d=2.92741e-19 t=21961
hui yi 	會議	c=3 d=0.000481991 t=21961
hui yi shi 	會議室	c=1 d=0.00165327 t=21961
hui yi yi xia 	會議一下	c=1 d=0.00484407 t=21961
hui zhen 	回幀	c=2 d=6.28036e-16 t=21961
hui zhong 	匯中	c=1 d=6.81472e-48 t=21961
hui zong 	彙總	c=3 d=1.81909e-06 t=21961
hun 	混	c=1 d=2.27205e-08 t=21961
hun 	葷	c=3 d=2.24136e-47 t=21961
hun cai 	葷菜	c=4 d=4.06954e-47 t=21961
hun he 	混合	c=2 d=2.32999e-06 t=21961
hun yong 	混用	c=1 d=0.0247235 t=21961
huo 	或	c=8 d=0.873716 t=21961
huo 	貨	c=3 d=0.426498 t=21961
huo de 	獲得	c=2 d=1.01074e-08 t=21961
huo hu 	火狐	c=4 d=5.19178e-10 t=21961
huo qu 	獲取	c=18 d=0.120032 t=21961
huo xu 	或許	c=1 d=3.18332e-05 t=21961
huo zhe 	或者	c=10 d=0.238115 t=21961
huo zhe 	活着	c=1 d=1.75969e-31 t=21961
ji 	即	c=11 d=0.496585 t=21961
ji 	及	c=11 d=0.000257296 t=21961
ji 	吉	c=1 d=0.164474 t=21961
ji 	季	c=0 d=3.10525e-08 t=21961
ji 	幾	c=2 d=0.000263884 t=21961
ji 	極	c=1 d=0.055299 t=21961
ji 	機	c=4 d=0.0693746 t=21961
ji 	積	c=0 d=1.12807e-07 t=21961
ji 	級	c=3 d=3.02447e-14 t=21961
ji 	計	c=30 d=1.05626 t=21961
ji 	集	c=1 d=3.20091e-11 t=21961
ji ben 	基本	c=23 d=0.692228 t=21961
ji ben shang 	基本上	c=1 d=3.86465e-22 t=21961
ji bian 	即便	c=3 d=0.0250972 t=21961
ji bie 	級別	c=2 d=0.0320445 t=21961
ji ceng 	基層	c=2 d=2.76218e-12 t=21961
ji chang 	機場	c=1 d=2.10458e-19 t=21961
ji cheng 	積成	c=63 d=2.09955 t=21961
ji cheng 	集成	c=1 d=0.00748391 t=21961
ji cheng dian zi 	積成電子	c=5 d=0.0841638 t=21961
ji chu 	基礎	c=3 d=0.00319877 t=21961
ji chu shang 	基礎上	c=2 d=0.00332928 t=21961
ji ci 	幾次	c=5 d=0.00873961 t=21961
ji cun qi 	寄存器	c=3 d=7.73311e-06 t=21961
ji da 	極大	c=1 d=1.19844e-12 t=21961
ji dai 	幾代	c=0 d=0.00403566 t=21961
ji di 	基地	c=0 d=3.90084e-15 t=21961
ji di zhi 	基地址	c=1 d=3.92039e-14 t=21961
ji di zhi 	級地址	c=1 d=3.86202e-14 t=21961
ji dong che 	機動車	c=1 d=1.87595e-19 t=21961
ji ge 	幾個	c=19 d=0.439293 t=21961
ji gei 	寄給	c=2 d=1.4535e-05 t=21961
ji guo qu 	寄過去	c=2 d=0.000808767 t=21961
ji hao 	幾號	c=1 d=3.35977e-22 t=21961
ji hao 	級號	c=1 d=0.000102055 t=21961
ji he 	集合	c=1 d=3.31493e-11 t=21961
ji hua 	計劃	c=4 d=0.0211736 t=21961
ji hui 	寄回	c=4 d=4.15998e-06 t=21961
ji huo 	激活	c=1 d=2.22131e-07 t=21961
ji ke 	即刻	c=1 d=0.0124629 t=21961
ji ke 	即可	c=5 d=0.588605 t=21961
ji lian 	級聯	c=1 d=1.89777e-08 t=21961
ji liang 	計量	c=2 d=4.3087e-24 t=21961
ji lu 	記錄	c=52 d=1.41643 t=21961
ji lu zhi 	記錄值	c=3 d=1.39719e-11 t=21961
ji lun 	幾輪	c=1 d=7.77584e-12 t=21961
ji nan 	濟南	c=7 d=0.631045 t=21961
ji nian 	幾年	c=1 d=2.50409e-05 t=21961
ji qi 	極其	c=2 d=0.00444934 t=21961
ji qi 	機器	c=2 d=1.04909e-05 t=21961
ji ran 	既然	c=1 d=3.58236e-12 t=21961
ji shi 	及時	c=1 d=9.30462e-06 t=21961
ji shi 	計時	c=2 d=1.33044e-06 t=21961
ji shu 	基數	c=2 d=9.96023e-05 t=21961
ji shu 	技術	c=4 d=1.39865e-06 t=21961
ji shu 	計數	c=2 d=1.40567e-06 t=21961
ji shu zhi chi 	技術支持	c=1 d=0.000611253 t=21961
ji song 	寄送	c=1 d=1.07565e-05 t=21961
ji suan 	計算	c=14 d=0.0584257 t=21961
ji suan ji 	計算機	c=2 d=2.98375e-05 t=21961
ji tian 	幾天	c=1 d=8.1587e-48 t=21961
ji tuan 	集團	c=2 d=0.000203468 t=21961
ji tui 	雞腿	c=1 d=8.53422e-48 t=21961
ji wei 	極爲	c=1 d=0.0544757 t=21961
ji xi wang yu 	寄希望於	c=1 d=0.00276698 t=21961
ji xie 	機械	c=2 d=0.0473589 t=21961
ji xu 	繼續	c=19 d=1.0791 t=21961
ji yao 	紀要	c=3 d=1.2993e-16 t=21961
ji yi 	記憶	c=1 d=1.74764e-09 t=21961
ji you 	既有	c=1 d=1.10879e-09 t=21961
ji yu 	基於	c=1 d=7.82971e-05 t=21961
ji zhan 	基站	c=2 d=0.000491405 t=21961
ji zhi 	機制	c=12 d=0.548812 t=21961
ji zhong 	幾種	c=2 d=0.0104099 t=21961
ji zhong 	集中	c=0 d=3.12783e-05 t=21961
ji zhong dao 	集中到	c=1 d=0.000314351 t=21961
ji zhong qi 	集中器	c=50 d=0.482854 t=21961
jia 	假	c=1 d=1.38927e-15 t=21961
jia 	價	c=1 d=2.61206e-31 t=21961
jia 	加	c=12 d=0.546074 t=21961
jia chang 	加長	c=1 d=0.0100518 t=21961
jia jia 	加加	c=1 d=0.00373503 t=21961
jia kuai 	加快	c=1 d=1.16524e-05 t=21961
jia mi 	加密	c=1 d=2.26657e-09 t=21961
jia ru 	加入	c=13 d=0.948274 t=21961
jia shang 	加上	c=5 d=0.822835 t=21961
jia she 	假設	c=1 d=0.000411789 t=21961
jia shi 	駕駛	c=3 d=4.59891e-22 t=21961
jia yi 	加以	c=1 d=4.37164e-31 t=21961
jia you 	加油	c=2 d=0.0115624 t=21961
jian 	檢	c=1 d=8.6995e-09 t=21961
jian 	見	c=1 d=0.00486835 t=21961
jian 	鍵	c=7 d=0.178726 t=21961
jian 	間	c=0 d=1.14809e-08 t=21961
jian ce 	檢測	c=31 d=2.93548 t=21961
jian ce 	監測	c=4 d=0.000414008 t=21961
jian ce dao 	檢測到	c=3 d=0.650931 t=21961
jian cha 	檢查	c=43 d=1.92533 t=21961
jian cha dan 	檢查單	c=2 d=0.162131 t=21961
jian cha dian ya 	檢查電壓	c=2 d=9.95467e-07 t=21961
jian dan 	簡單	c=1 d=0.000232877 t=21961
jian dan de 	簡單地	c=1 d=0.000218221 t=21961
jian dao 	鍵道	c=3 d=1.11747 t=21961
jian ge 	間隔	c=18 d=0.00401894 t=21961
jian hua 	簡化	c=2 d=0.984363 t=21961
jian hua zi 	簡化字	c=2 d=2.35947e-11 t=21961
jian ji 	剪輯	c=1 d=0.0930145 t=21961
jian jian de 	漸漸地	c=1 d=0.0256042 t=21961
jian jie 	簡介	c=1 d=1.67045e-07 t=21961
jian jie 	間接	c=1 d=1.67883e-07 t=21961
jian kang 	健康	c=1 d=0.0256711 t=21961
jian kong 	監控	c=7 d=0.120633 t=21961
jian li 	建立	c=9 d=0.0658176 t=21961
jian mao 	鍵帽	c=1 d=0.00105417 t=21961
jian pan 	鍵盤	c=21 d=0.241279 t=21961
jian qie 	剪切	c=1 d=8.19567e-13 t=21961
jian qing 	減輕	c=1 d=1.48666e-18 t=21961
jian qu 	減去	c=4 d=0.145231 t=21961
jian rong 	兼容	c=6 d=0.00743443 t=21961
jian shao 	減少	c=1 d=5.07912e-31 t=21961
jian ti 	簡體	c=3 d=0.774916 t=21961
jian ting 	監聽	c=3 d=0.000750328 t=21961
jian wei 	鍵位	c=9 d=0.131957 t=21961
jian wei bu ju 	鍵位佈局	c=1 d=1.11742e-12 t=21961
jian yao 	簡要	c=2 d=0.0973512 t=21961
jian yi 	建議	c=13 d=0.477114 t=21961
jian yu 	鑑於	c=1 d=9.78334e-08 t=21961
jian zao 	建造	c=2 d=4.36933e-31 t=21961
jian zhi 	簡直	c=1 d=1.08439e-12 t=21961
jian zhi 	鍵值	c=3 d=0.00191539 t=21961
jian zhu 	建築	c=4 d=2.43367e-30 t=21961
jian zhu shi 	建築師	c=0 d=5.0035e-32 t=21961
jian zhu shi men 	建築師們	c=1 d=5.02858e-31 t=21961
jian zhu ye 	建築業	c=1 d=4.73574e-31 t=21961
jian zhuang 	健壯	c=0 d=1.64699e-18 t=21961
jian zhuang xing 	健壯性	c=2 d=3.39535e-17 t=21961
jian zui 	賤嘴	c=1 d=0.0124007 t=21961
jiang 	將	c=79 d=1.97206 t=21961
jiang 	薑	c=1 d=0.00108086 t=21961
jiang 	講	c=2 d=0.000115643 t=21961
jiang di 	降低	c=3 d=1.2576 t=21961
jiang qi 	將其	c=3 d=0.458406 t=21961
jiang shi 	將是	c=1 d=2.85173e-05 t=21961
jiang su 	江蘇	c=5 d=0.371577 t=21961
jiang yuan xian 	將原先	c=1 d=0.0161635 t=21961
jiang ze min 	江澤民	c=1 d=0.025223 t=21961
jiao 	交	c=1 d=1.29064e-31 t=21961
jiao 	叫	c=1 d=8.74609e-13 t=21961
jiao 	腳	c=3 d=2.30642e-07 t=21961
jiao 	膠	c=1 d=2.90331e-10 t=21961
jiao cai 	交採	c=1 d=0.00117088 t=21961
jiao che 	轎車	c=1 d=1.93308e-19 t=21961
jiao da 	較大	c=1 d=2.18861e-09 t=21961
jiao di 	較低	c=1 d=9.98097e-08 t=21961
jiao fu 	交付	c=1 d=2.21633e-10 t=21961
jiao gei 	交給	c=1 d=2.93858e-05 t=21961
jiao hu 	交互	c=4 d=1.28042 t=21961
jiao liu 	交流	c=1 d=7.95481e-15 t=21961
jiao luo 	角落	c=1 d=8.5729e-13 t=21961
jiao shi 	教室	c=1 d=2.71403e-11 t=21961
jiao shi 	校時	c=6 d=1.71373e-06 t=21961
jiao wei 	較爲	c=2 d=1.11212e-10 t=21961
jiao xue 	教學	c=4 d=1.2008e-10 t=21961
jiao xue lou 	教學樓	c=3 d=1.01259e-10 t=21961
jiao yan 	校驗	c=30 d=1.19368 t=21961
jiao yan fang shi 	校驗方式	c=1 d=6.38388e-15 t=21961
jiao yan he 	校驗和	c=1 d=9.61935e-15 t=21961
jiao yan wei 	校驗位	c=8 d=0.709283 t=21961
jiao yan zhi 	校驗值	c=3 d=7.62187e-12 t=21961
jiao yi 	交易	c=1 d=0.000534061 t=21961
jiao yin 	腳印	c=0 d=0.00485578 t=21961
jiao yin de 	腳印地	c=1 d=0.0488012 t=21961
jiao you 	交由	c=4 d=0.0231676 t=21961
jiao yu 	教育	c=1 d=8.03612e-17 t=21961
jiao zheng 	校正	c=1 d=2.14491e-07 t=21961
jiao zhun 	校準	c=2 d=0.00299743 t=21961
jie 	介	c=1 d=5.66103e-13 t=21961
jie 	傑	c=1 d=6.03075e-22 t=21961
jie 	姐	c=1 d=2.8408e-48 t=21961
jie 	接	c=5 d=0.305746 t=21961
jie 	節	c=0 d=1.20363e-05 t=21961
jie chu 	接觸	c=2 d=0.125556 t=21961
jie chu guo 	接觸過	c=1 d=7.23266e-13 t=21961
jie duan 	階段	c=2 d=0.079659 t=21961
